"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YOR197W",337.802122509927,0.962678548359193,0.0950413480330653,10.1290498112913,4.10620122748479e-24,9.76232513140954e-23
"YOR198C",326.417114108954,0.0173709493285647,0.0974736945759353,0.178211664225286,0.858556749628912,0.92553565569142
"YOR201C",108.840269677753,0.275112429569398,0.167004724331042,1.6473332157003,0.0994895741854812,0.231396824992056
"YOR202W",184.446026207679,0.962128513682897,0.135404827166535,7.10557026522823,1.19826721835601e-12,1.7377870334208e-11
"YOR204W",145.705932290206,1.24553818114399,0.147769818749265,8.42890782222192,3.48906279600832e-17,6.42541373956961e-16
"YOR205C",29.2923858361103,-0.191131544904357,0.325739158733315,-0.586762566857483,0.55736318055692,0.726569432367063
"YOR206W",49.8781318570433,-0.0341990580747269,0.256430488176275,-0.13336580341109,0.893904088701922,0.943012403647982
"YOR207C",169.608859912143,0.464068225134108,0.134637358329036,3.44680132537944,0.00056726557548259,0.00328413932472506
"YOR208W",135.032240424046,-0.113372676285276,0.157119932678815,-0.721567749885896,0.470560272979023,0.657447048061492
"YOR209C",293.610704545778,0.45120426243233,0.103348420509807,4.36585542581675,1.26626215906074e-05,0.000101039708180349
"YOR210W",62.3742267840422,-0.18160316271316,0.229119321791403,-0.79261391528776,0.428002798845562,0.620196432632324
"YOR211C",80.1942963666794,-0.334808639077124,0.205026604204479,-1.63300094822431,0.102468797240387,0.236632759869221
"YOR212W",184.123706606456,0.76757991949606,0.130116173795369,5.89918914079977,3.65292299144877e-09,4.20495333382335e-08
"YOR213C",34.1037645025081,-0.169319073236393,0.317447692221271,-0.533376292804713,0.593773124963682,0.753550185498648
"YOR214C",1.07578930823583,-0.121317220111811,1.7392031318313,-0.0697544857707735,0.944389073981151,NA
"YOR215C",125.00788823795,-0.687990320135666,0.164959838841865,-4.17065344489815,3.03727459647014e-05,0.000227933116870935
"YOR216C",81.0482034828348,0.175357506447879,0.192777818110471,0.909635289820486,0.363014881126617,0.558580722921885
"YOR217W",120.034993939815,-0.0317211571717005,0.160634336944635,-0.19747432445053,0.843456371942042,0.918680137746111
"YOR219C",128.941971474991,0.278645047867163,0.154450877256524,1.80410142575214,0.0712154082704017,0.179695773543541
"YOR220W",165.582139739014,-0.152397711435401,0.139086939987383,-1.09570108774573,0.273209606533001,0.468486233372136
"YOR221C",76.2505721030354,0.547557966531519,0.198670245841206,2.75611460696119,0.00584924979785095,0.0243936003431584
"YOR222W",224.917002419379,-0.477864612722802,0.12185721619313,-3.92151263299367,8.7994834163745e-05,0.000610138614329614
"YOR223W",92.08736486806,-0.0921995718983582,0.182855697305032,-0.504220394864454,0.614106510108285,0.768262209432426
"YOR224C",129.95012945667,0.233699058677498,0.162600599304689,1.43725828611235,0.150644616843053,0.313897062610112
"YOR226C",95.4959771396993,-0.231155276928239,0.179610462861447,-1.28698113264456,0.198100864420936,0.378394176656519
"YOR227W",223.672873379684,-0.671944215714204,0.122032583337841,-5.50626887782879,3.6651860249955e-08,3.87988031587571e-07
"YOR228C",42.1249737053275,-0.272748889572572,0.270788713162436,-1.00723876703443,0.313820047549484,0.50955142638155
"YOR229W",50.8508212647463,-0.0339668141793176,0.254334017070207,-0.133551990294485,0.893756850171727,0.943012403647982
"YOR230W",571.21418408993,1.11354248363145,0.075238004256196,14.8002660974324,1.45904267809269e-49,6.31634819075798e-48
"YOR231W",82.5297440029778,-0.411904129687239,0.20418528808579,-2.01730562249997,0.0436636292407797,0.123436994749397
"YOR232W",155.054995789568,0.413238783368563,0.139385273270362,2.96472341498384,0.00302955172446897,0.0138928296866755
"YOR233W",56.1101349264394,-0.124774777556006,0.24177107741633,-0.516086452066158,0.605794029790797,0.761971198355684
"YOR234C",348.110143521041,0.187523664098777,0.0950515184822573,1.97286342283717,0.0485111249073607,0.13432603130673
"YOR235W",0,NA,NA,NA,NA,NA
"YOR236W",34.8173647678068,-0.360244357807048,0.305899709406457,-1.17765511613606,0.238934127349432,0.430452444954676
"YOR237W",22.3632621524301,-0.428568242409386,0.379120295633113,-1.1304281183198,0.258295871425265,0.45172576127162
"YOR238W",38.0944852081558,-0.610520005180924,0.32687701743231,-1.86773609835495,0.061798864370102,0.16112144369032
"YOR239W",249.802672311106,-0.279688856313421,0.116390984255312,-2.40301135094712,0.0162606826891154,0.0560476650502427
"YOR241W",101.79014048516,0.034813964784911,0.180540623320054,0.192831752459359,0.847090735289057,0.921254847283805
"YOR242C",3.28779374451329,-1.02497758228519,1.07419921239735,-0.954178303666497,0.339993395080442,0.536058913893716
"YOR243C",144.758389017362,0.558447320916975,0.144764834845933,3.85761722804648,0.000114497768721698,0.000770535448207155
"YOR244W",47.3998122493662,-0.69445223880222,0.274351903411264,-2.53124629414803,0.0113658008317481,0.0419688164385554
"YOR245C",75.7424936983506,-0.340555561140032,0.206752081473525,-1.64716871875189,0.099523371548902,0.231396824992056
"YOR246C",216.838585740148,-0.0447765893981454,0.121729174356281,-0.367837781164044,0.712994195743189,0.838281177443502
"YOR247W",975.628803698656,0.524142839114951,0.0567401160601542,9.23760604506465,2.52073683210694e-20,5.22242655823298e-19
"YOR249C",45.7359562727414,-0.158394812446509,0.266441466771174,-0.59448258698614,0.552189385423837,0.722936448184027
"YOR250C",66.0667209674443,0.130687780731034,0.223531612921945,0.584650103950482,0.558783010478375,0.727119839341646
"YOR251C",109.898888649856,-0.170436947009582,0.170657740803662,-0.998706218698076,0.317937027288343,0.514033638600803
"YOR252W",33.1967728381283,0.200902854156392,0.301227594675945,0.666947045049172,0.504805959206622,0.685891564777294
"YOR253W",65.0715015485913,0.451389666986612,0.21893055310913,2.06179384547395,0.0392273672739657,0.113325676073842
"YOR254C",250.184622072035,0.0336237474713391,0.115089858580501,0.292152131265505,0.770170309419125,0.874648622115933
"YOR255W",0.903079127545043,-2.73699701529754,2.01107999560938,-1.36095879889064,0.173526710166918,NA
"YOR256C",121.24334400603,-0.139214701841974,0.164413769597484,-0.846733836118455,0.397143494404092,0.591483802577185
